unit_id,video_id,dancer_id,clip_path,num_segments,total_duration_s,source_fps,target_fps,height,has_audio
-mT5x-j_TpI_45,-mT5x-j_TpI,45,-mT5x-j_TpI_45.mp4,3,65.532,29.97,30,720,1
2j3UEJGUHC0_62,2j3UEJGUHC0,62,2j3UEJGUHC0_62.mp4,3,96.863,29.97,30,720,1
2j3UEJGUHC0_40,2j3UEJGUHC0,40,2j3UEJGUHC0_40.mp4,3,64.131,29.97,30,720,1
AWyphq2wobE_37,AWyphq2wobE,37,AWyphq2wobE_37.mp4,3,42.943,29.97,30,720,1
AWyphq2wobE_13,AWyphq2wobE,13,AWyphq2wobE_13.mp4,3,60.827,29.97,30,720,1
ER_MI5KWckY_47,ER_MI5KWckY,47,ER_MI5KWckY_47.mp4,3,75.275,29.97,30,720,1
ER_MI5KWckY_1,ER_MI5KWckY,1,ER_MI5KWckY_1.mp4,3,70.804,29.97,30,720,1
J81VYjZvg80_15,J81VYjZvg80,15,J81VYjZvg80_15.mp4,3,86.053,29.97,30,720,1
J81VYjZvg80_34,J81VYjZvg80,34,J81VYjZvg80_34.mp4,3,87.254,29.97,30,720,1
N5Qu7t4Mb4I_37,N5Qu7t4Mb4I,37,N5Qu7t4Mb4I_37.mp4,3,87.588,29.97,30,720,1
N5Qu7t4Mb4I_15,N5Qu7t4Mb4I,15,N5Qu7t4Mb4I_15.mp4,3,70.804,29.97,30,720,1
ToFyPVocxMk_27,ToFyPVocxMk,27,ToFyPVocxMk_27.mp4,3,58.158,29.97,30,720,1
ToFyPVocxMk_15,ToFyPVocxMk,15,ToFyPVocxMk_15.mp4,3,78.612,29.97,30,720,1
U98V5ky0RBk_41,U98V5ky0RBk,41,U98V5ky0RBk_41.mp4,3,75.008,29.97,30,720,1
U98V5ky0RBk_45,U98V5ky0RBk,45,U98V5ky0RBk_45.mp4,3,86.62,29.97,30,720,1
fafUiXUQ4Ac_37,fafUiXUQ4Ac,37,fafUiXUQ4Ac_37.mp4,3,72.139,29.97,30,720,1
fafUiXUQ4Ac_12,fafUiXUQ4Ac,12,fafUiXUQ4Ac_12.mp4,3,71.104,29.97,30,720,1
hF_jFEvaWo4_37,hF_jFEvaWo4,37,hF_jFEvaWo4_37.mp4,3,63.997,29.97,30,720,1
hF_jFEvaWo4_28,hF_jFEvaWo4,28,hF_jFEvaWo4_28.mp4,3,74.808,29.97,30,720,1
l9pBNENDXYo_27,l9pBNENDXYo,27,l9pBNENDXYo_27.mp4,3,51.852,29.97,30,720,1
l9pBNENDXYo_39,l9pBNENDXYo,39,l9pBNENDXYo_39.mp4,3,51.952,29.97,30,720,1
nkVvghOaoJs_46,nkVvghOaoJs,46,nkVvghOaoJs_46.mp4,3,62.93,29.97,30,720,1
nkVvghOaoJs_13,nkVvghOaoJs,13,nkVvghOaoJs_13.mp4,3,85.118,29.97,30,720,1
u525d_b3TfY_62,u525d_b3TfY,62,u525d_b3TfY_62.mp4,3,69.937,29.97,30,720,1
u525d_b3TfY_15,u525d_b3TfY,15,u525d_b3TfY_15.mp4,3,83.951,29.97,30,720,1
w9Kyhjk6uSk_54,w9Kyhjk6uSk,54,w9Kyhjk6uSk_54.mp4,3,67.834,29.97,30,720,1
w9Kyhjk6uSk_28,w9Kyhjk6uSk,28,w9Kyhjk6uSk_28.mp4,3,77.311,29.97,30,720,1
z_713w5z1QQ_28,z_713w5z1QQ,28,z_713w5z1QQ_28.mp4,3,63.664,29.97,30,720,1
z_713w5z1QQ_47,z_713w5z1QQ,47,z_713w5z1QQ_47.mp4,3,72.205,29.97,30,720,1
-OFL9l7_y2g_34,-OFL9l7_y2g,34,-OFL9l7_y2g_34.mp4,2,39.52,25.0,25,720,1
-OFL9l7_y2g_56,-OFL9l7_y2g,56,-OFL9l7_y2g_56.mp4,2,57.04,25.0,25,720,1
7e1kVpP0Gp0_56,7e1kVpP0Gp0,56,7e1kVpP0Gp0_56.mp4,3,81.12,25.0,25,720,1
7e1kVpP0Gp0_4,7e1kVpP0Gp0,4,7e1kVpP0Gp0_4.mp4,3,81.76,25.0,25,720,1
C6jYc9536Vs_15,C6jYc9536Vs,15,C6jYc9536Vs_15.mp4,2,77.12,25.0,25,720,1
C6jYc9536Vs_60,C6jYc9536Vs,60,C6jYc9536Vs_60.mp4,2,66.36,25.0,25,720,1
Hh4aUb-WAns_54,Hh4aUb-WAns,54,Hh4aUb-WAns_54.mp4,3,85.68,25.0,25,720,1
Hh4aUb-WAns_6,Hh4aUb-WAns,6,Hh4aUb-WAns_6.mp4,3,83.8,25.0,25,720,1
IzgPV9TpX64_28,IzgPV9TpX64,28,IzgPV9TpX64_28.mp4,2,43.8,25.0,25,720,1
IzgPV9TpX64_0,IzgPV9TpX64,0,IzgPV9TpX64_0.mp4,2,49.52,25.0,25,720,1
JNHbKAR2YvU_34,JNHbKAR2YvU,34,JNHbKAR2YvU_34.mp4,2,45.84,25.0,25,720,1
JNHbKAR2YvU_0,JNHbKAR2YvU,0,JNHbKAR2YvU_0.mp4,2,58.32,25.0,25,720,1
SDHinm2pPvM_25,SDHinm2pPvM,25,SDHinm2pPvM_25.mp4,2,65.12,25.0,25,720,1
SDHinm2pPvM_6,SDHinm2pPvM,6,SDHinm2pPvM_6.mp4,2,74.96,25.0,25,720,1
TUkmZNnUamY_6,TUkmZNnUamY,6,TUkmZNnUamY_6.mp4,3,97.6,25.0,25,720,1
TUkmZNnUamY_13,TUkmZNnUamY,13,TUkmZNnUamY_13.mp4,3,65.6,25.0,25,720,1
XXjMMAUI0GQ_5,XXjMMAUI0GQ,5,XXjMMAUI0GQ_5.mp4,2,63.08,25.0,25,720,1
XXjMMAUI0GQ_34,XXjMMAUI0GQ,34,XXjMMAUI0GQ_34.mp4,2,50.76,25.0,25,720,1
YSSAzuoG_rQ_29,YSSAzuoG_rQ,29,YSSAzuoG_rQ_29.mp4,3,99.84,25.0,25,720,1
YSSAzuoG_rQ_54,YSSAzuoG_rQ,54,YSSAzuoG_rQ_54.mp4,3,80.24,25.0,25,720,1
hJb6sTLnY80_34,hJb6sTLnY80,34,hJb6sTLnY80_34.mp4,3,78.16,25.0,25,720,1
hJb6sTLnY80_54,hJb6sTLnY80,54,hJb6sTLnY80_54.mp4,3,68.4,25.0,25,720,1
ox4gxQSylfw_62,ox4gxQSylfw,62,ox4gxQSylfw_62.mp4,3,82.36,25.0,25,720,1
ox4gxQSylfw_54,ox4gxQSylfw,54,ox4gxQSylfw_54.mp4,3,76.32,25.0,25,720,1
pe7AcaNbW88_37,pe7AcaNbW88,37,pe7AcaNbW88_37.mp4,3,72.4,25.0,25,720,1
pe7AcaNbW88_13,pe7AcaNbW88,13,pe7AcaNbW88_13.mp4,3,70.8,25.0,25,720,1
t2GNNnXEWFY_62,t2GNNnXEWFY,62,t2GNNnXEWFY_62.mp4,2,64.48,25.0,25,720,1
t2GNNnXEWFY_57,t2GNNnXEWFY,57,t2GNNnXEWFY_57.mp4,2,52.8,25.0,25,720,1
-q9ecA3Hq_E_24,-q9ecA3Hq_E,24,-q9ecA3Hq_E_24.mp4,3,78.72,25.0,25,720,1
-q9ecA3Hq_E_56,-q9ecA3Hq_E,56,-q9ecA3Hq_E_56.mp4,3,95.12,25.0,25,720,1
0_Kq3IQQMNA_16,0_Kq3IQQMNA,16,0_Kq3IQQMNA_16.mp4,3,96.16,25.0,25,720,1
0_Kq3IQQMNA_61,0_Kq3IQQMNA,61,0_Kq3IQQMNA_61.mp4,3,89.96,25.0,25,720,1
60EX6Tx_GvY_0,60EX6Tx_GvY,0,60EX6Tx_GvY_0.mp4,3,61.8,25.0,25,720,1
60EX6Tx_GvY_38,60EX6Tx_GvY,38,60EX6Tx_GvY_38.mp4,3,73.04,25.0,25,720,1
8lugwBoAKrg_48,8lugwBoAKrg,48,8lugwBoAKrg_48.mp4,3,92.64,25.0,25,720,1
8lugwBoAKrg_27,8lugwBoAKrg,27,8lugwBoAKrg_27.mp4,3,78.56,25.0,25,720,1
9Nb7nQmm3Dc_49,9Nb7nQmm3Dc,49,9Nb7nQmm3Dc_49.mp4,3,113.76,25.0,25,720,1
9Nb7nQmm3Dc_0,9Nb7nQmm3Dc,0,9Nb7nQmm3Dc_0.mp4,3,59.8,25.0,25,720,1
HMwRrrpSDVw_22,HMwRrrpSDVw,22,HMwRrrpSDVw_22.mp4,3,66.32,25.0,25,720,1
HMwRrrpSDVw_3,HMwRrrpSDVw,3,HMwRrrpSDVw_3.mp4,3,107.44,25.0,25,720,1
JOB70zcE7IM_34,JOB70zcE7IM,34,JOB70zcE7IM_34.mp4,3,77.0,25.0,25,720,1
JOB70zcE7IM_22,JOB70zcE7IM,22,JOB70zcE7IM_22.mp4,3,79.44,25.0,25,720,1
Ptg3shx8SHQ_34,Ptg3shx8SHQ,34,Ptg3shx8SHQ_34.mp4,3,101.28,25.0,25,720,1
Ptg3shx8SHQ_49,Ptg3shx8SHQ,49,Ptg3shx8SHQ_49.mp4,3,82.2,25.0,25,720,1
SZEQrtZUMqo_34,SZEQrtZUMqo,34,SZEQrtZUMqo_34.mp4,3,83.12,25.0,25,720,1
SZEQrtZUMqo_44,SZEQrtZUMqo,44,SZEQrtZUMqo_44.mp4,3,80.52,25.0,25,720,1
VYrzsTehlcE_56,VYrzsTehlcE,56,VYrzsTehlcE_56.mp4,3,67.4,25.0,25,720,1
VYrzsTehlcE_27,VYrzsTehlcE,27,VYrzsTehlcE_27.mp4,3,72.4,25.0,25,720,1
gPru76IYdEo_49,gPru76IYdEo,49,gPru76IYdEo_49.mp4,3,120.0,25.0,25,720,1
gPru76IYdEo_32,gPru76IYdEo,32,gPru76IYdEo_32.mp4,3,86.48,25.0,25,720,1
n0RWMrEcm9U_27,n0RWMrEcm9U,27,n0RWMrEcm9U_27.mp4,3,75.96,25.0,25,720,1
n0RWMrEcm9U_62,n0RWMrEcm9U,62,n0RWMrEcm9U_62.mp4,3,65.96,25.0,25,720,1
stnvERm9zBc_62,stnvERm9zBc,62,stnvERm9zBc_62.mp4,3,66.4,25.0,25,720,1
stnvERm9zBc_9,stnvERm9zBc,9,stnvERm9zBc_9.mp4,3,68.96,25.0,25,720,1
yoF-3w5sQQk_16,yoF-3w5sQQk,16,yoF-3w5sQQk_16.mp4,3,73.4,25.0,25,720,1
yoF-3w5sQQk_62,yoF-3w5sQQk,62,yoF-3w5sQQk_62.mp4,3,60.84,25.0,25,720,1
zsE4Lb1-MmE_62,zsE4Lb1-MmE,62,zsE4Lb1-MmE_62.mp4,3,80.48,25.0,25,720,1
zsE4Lb1-MmE_34,zsE4Lb1-MmE,34,zsE4Lb1-MmE_34.mp4,3,68.32,25.0,25,720,1
2Ui_xim3XXc_60,2Ui_xim3XXc,60,2Ui_xim3XXc_60.mp4,3,120.0,25.0,25,720,1
2Ui_xim3XXc_58,2Ui_xim3XXc,58,2Ui_xim3XXc_58.mp4,3,111.16,25.0,25,720,1
CCq67gNRKTw_14,CCq67gNRKTw,14,CCq67gNRKTw_14.mp4,3,96.76,25.0,25,720,1
CCq67gNRKTw_30,CCq67gNRKTw,30,CCq67gNRKTw_30.mp4,3,87.36,25.0,25,720,1
ILuhYlZOqcE_7,ILuhYlZOqcE,7,ILuhYlZOqcE_7.mp4,2,120.0,25.0,25,720,1
ILuhYlZOqcE_58,ILuhYlZOqcE,58,ILuhYlZOqcE_58.mp4,3,81.76,25.0,25,720,1
JwaxirDpmOA_60,JwaxirDpmOA,60,JwaxirDpmOA_60.mp4,3,87.16,25.0,25,720,1
JwaxirDpmOA_24,JwaxirDpmOA,24,JwaxirDpmOA_24.mp4,3,100.08,25.0,25,720,1
Ow8cbsVCGoE_27,Ow8cbsVCGoE,27,Ow8cbsVCGoE_27.mp4,3,84.48,25.0,25,720,1
Ow8cbsVCGoE_26,Ow8cbsVCGoE,26,Ow8cbsVCGoE_26.mp4,3,82.92,25.0,25,720,1
XkqFeIQ-e98_27,XkqFeIQ-e98,27,XkqFeIQ-e98_27.mp4,4,78.92,25.0,25,720,1
XkqFeIQ-e98_30,XkqFeIQ-e98,30,XkqFeIQ-e98_30.mp4,3,81.12,25.0,25,720,1
aPCmlKU9H70_52,aPCmlKU9H70,52,aPCmlKU9H70_52.mp4,3,104.8,25.0,25,720,1
aPCmlKU9H70_30,aPCmlKU9H70,30,aPCmlKU9H70_30.mp4,3,79.04,25.0,25,720,1
axnY0XitBIo_8,axnY0XitBIo,8,axnY0XitBIo_8.mp4,3,89.76,25.0,25,720,1
axnY0XitBIo_14,axnY0XitBIo,14,axnY0XitBIo_14.mp4,3,78.64,25.0,25,720,1
g2M6lxqsIvM_16,g2M6lxqsIvM,16,g2M6lxqsIvM_16.mp4,3,103.76,25.0,25,720,1
g2M6lxqsIvM_14,g2M6lxqsIvM,14,g2M6lxqsIvM_14.mp4,3,87.12,25.0,25,720,1
j_LtCCX-4Yc_16,j_LtCCX-4Yc,16,j_LtCCX-4Yc_16.mp4,3,107.8,25.0,25,720,1
j_LtCCX-4Yc_31,j_LtCCX-4Yc,31,j_LtCCX-4Yc_31.mp4,3,81.08,25.0,25,720,1
je265bdPIEU_55,je265bdPIEU,55,je265bdPIEU_55.mp4,3,73.64,25.0,25,720,1
je265bdPIEU_30,je265bdPIEU,30,je265bdPIEU_30.mp4,3,96.88,25.0,25,720,1
l2Sb3KlMn3c_55,l2Sb3KlMn3c,55,l2Sb3KlMn3c_55.mp4,3,118.84,25.0,25,720,1
l2Sb3KlMn3c_40,l2Sb3KlMn3c,40,l2Sb3KlMn3c_40.mp4,3,111.44,25.0,25,720,1
wBYRyLAF1v8_26,wBYRyLAF1v8,26,wBYRyLAF1v8_26.mp4,3,85.52,25.0,25,720,1
wBYRyLAF1v8_20,wBYRyLAF1v8,20,wBYRyLAF1v8_20.mp4,3,67.28,25.0,25,720,1
ws8ipOc_2hY_27,ws8ipOc_2hY,27,ws8ipOc_2hY_27.mp4,3,91.52,25.0,25,720,1
ws8ipOc_2hY_60,ws8ipOc_2hY,60,ws8ipOc_2hY_60.mp4,3,71.32,25.0,25,720,1
y_T6mP97gmE_27,y_T6mP97gmE,27,y_T6mP97gmE_27.mp4,3,75.96,25.0,25,720,1
y_T6mP97gmE_59,y_T6mP97gmE,59,y_T6mP97gmE_59.mp4,3,82.0,25.0,25,720,1
J8DNK2qLe-s_23,J8DNK2qLe-s,23,J8DNK2qLe-s_23.mp4,3,113.52,25.0,25,720,1
J8DNK2qLe-s_59,J8DNK2qLe-s,59,J8DNK2qLe-s_59.mp4,3,95.44,25.0,25,720,1
Pan5R6HxlgI_49,Pan5R6HxlgI,49,Pan5R6HxlgI_49.mp4,3,102.88,25.0,25,720,1
Pan5R6HxlgI_59,Pan5R6HxlgI,59,Pan5R6HxlgI_59.mp4,3,93.16,25.0,25,720,1
R6vHm_97eBA_19,R6vHm_97eBA,19,R6vHm_97eBA_19.mp4,3,103.72,25.0,25,720,1
R6vHm_97eBA_35,R6vHm_97eBA,35,R6vHm_97eBA_35.mp4,3,94.96,25.0,25,720,1
TsucYFPm6Q8_27,TsucYFPm6Q8,27,TsucYFPm6Q8_27.mp4,3,65.4,25.0,25,720,1
TsucYFPm6Q8_43,TsucYFPm6Q8,43,TsucYFPm6Q8_43.mp4,3,88.48,25.0,25,720,1
YRdkxsfoo9c_33,YRdkxsfoo9c,33,YRdkxsfoo9c_33.mp4,3,84.36,25.0,25,720,1
YRdkxsfoo9c_17,YRdkxsfoo9c,17,YRdkxsfoo9c_17.mp4,3,90.68,25.0,25,720,1
f4PNzVPs5aY_0,f4PNzVPs5aY,0,f4PNzVPs5aY_0.mp4,3,81.32,25.0,25,720,1
f4PNzVPs5aY_42,f4PNzVPs5aY,42,f4PNzVPs5aY_42.mp4,3,80.96,25.0,25,720,1
jmLSoBxxyhc_0,jmLSoBxxyhc,0,jmLSoBxxyhc_0.mp4,3,114.92,25.0,25,720,1
jmLSoBxxyhc_49,jmLSoBxxyhc,49,jmLSoBxxyhc_49.mp4,3,81.32,25.0,25,720,1
ne_w_zaNOLs_19,ne_w_zaNOLs,19,ne_w_zaNOLs_19.mp4,3,82.84,25.0,25,720,1
ne_w_zaNOLs_33,ne_w_zaNOLs,33,ne_w_zaNOLs_33.mp4,3,75.08,25.0,25,720,1
pdNP0-pSpTQ_33,pdNP0-pSpTQ,33,pdNP0-pSpTQ_33.mp4,3,109.96,25.0,25,720,1
pdNP0-pSpTQ_53,pdNP0-pSpTQ,53,pdNP0-pSpTQ_53.mp4,3,82.36,25.0,25,720,1
qrmkQKLEcAw_2,qrmkQKLEcAw,2,qrmkQKLEcAw_2.mp4,3,120.0,25.0,25,720,1
qrmkQKLEcAw_18,qrmkQKLEcAw,18,qrmkQKLEcAw_18.mp4,3,111.92,25.0,25,720,1
vWRZ6hdlwYo_17,vWRZ6hdlwYo,17,vWRZ6hdlwYo_17.mp4,3,89.88,25.0,25,720,1
vWRZ6hdlwYo_50,vWRZ6hdlwYo,50,vWRZ6hdlwYo_50.mp4,3,120.0,25.0,25,720,1
vgs2VXp78bc_19,vgs2VXp78bc,19,vgs2VXp78bc_19.mp4,3,119.32,25.0,25,720,1
vgs2VXp78bc_2,vgs2VXp78bc,2,vgs2VXp78bc_2.mp4,3,94.24,25.0,25,720,1
x3uelTisF6g_49,x3uelTisF6g,49,x3uelTisF6g_49.mp4,3,115.92,25.0,25,720,1
x3uelTisF6g_21,x3uelTisF6g,21,x3uelTisF6g_21.mp4,3,95.68,25.0,25,720,1
zvWiTWT3T2M_27,zvWiTWT3T2M,27,zvWiTWT3T2M_27.mp4,3,81.72,25.0,25,720,1
zvWiTWT3T2M_0,zvWiTWT3T2M,0,zvWiTWT3T2M_0.mp4,3,77.96,25.0,25,720,1
